元の番号,分類番号,単語,和訳,分類語源,一つ目の語源,一つ目の語源の長さ,二つ目の語源,二つ目の語源の長さ,三つ目の語源,三つ目の語源の長さ,参考,参考の長さ,,,,,,,,,,,,
2488,260,proximity,近いこと,prox_proach(近い),prope(近い),9,,0,,0,,0,お金に余裕のある人は職場に近い部屋を借ります,大きなビルの入り口付近には警備員が立っています,実家暮らしをしている学生は家から近いことを理由に学校を選びます,,,,,,,,,
2489,260,reproach,非難,prox_proach(近い),re(反対),6,prope(近い),9,,0,,0, blame, disapprovalです,例文を見てみましょう,いじめを行なった生徒は教師から厳しい叱責を受けます,ダイヤモンドは非の打ち所のない美しさがあります,陰口を叩くことは自分の顔に泥を塗ることです,起業家は最初のうちは貧乏でも、成功して恥をすすぎます,必要以上の叱責の言葉は人の心を傷つけます,,,,
2490,260,,,prox_proach(近い),,0,,0,,0,,0,,,,,,,,,,,,
2491,261,psyche,精神,psycho_psykhe(心),psycho(心),9,,0,,0,ギリシャ語のpsykhe(精神)に由来します。,23, soulです,例文を見てみましょう,人間の精神に興味のある大学生は、心理学を専攻し、心理士を目指します,心理状態が異常で、反社会的な人間はサイコパスと見なされます,またプシュケーはギリシャ神話に登場する人間の娘の名前も意味します,,,,,,,
2492,261,psychedelic,幻覚的な,psycho_psykhe(心),psykhe(精神),10,deloun(見える),11,,0,,0,サイケデリックとは、派手な色や音楽を使った独特の表現方法のことで、LSDなどの幻覚剤で得られた経験を元に作られます,サイケデリックな絵をずっと見ていると、頭がクラクラします,1960年代のアメリカでは、LSDが大衆の間で広まり、サイケデリックアートやサイケデリックミュージックが生まれました,現在ではLSDは世界的に規制されており、日本でもLSDは麻薬に指定されています,,,,,,,,
2493,261,psychology,心理学,psycho_psykhe(心),psykhe(精神),10,logia(学問),9,,0,,0,心理学は基礎心理学と応用心理学に大別されます,基礎心理学は、観察、実験、調査を通じて一般的な法則を探求します,応用心理学は、基礎心理学の知識を日常生活に役立てようとします,臨床心理学は精神障害の治療を目的とした学問分野で、応用心理学の一分野です,最近流行っているアドラー心理学も、個人の心理状態を良くすることを目的としています,,,,,,,
2494,261,psychiatry,精神医学,psycho_psykhe(心),psykhe(精神),10,iatreia(治療),11,,0,,0,精神障害の具体例としては、うつ病、双極性障害、パニック障害、薬物依存症などがあります,もしあなたがブラック企業に勤めてうつ病になってしまったら、すぐに精神科に相談しましょう,,,,,,,,,,
2495,261,psychosomatic,心因性の,psycho_psykhe(心),psykhe(精神),10,soma(体),7,,0,,0,心身症は、心の問題が主な原因となる病気です,心身医学は、患者の肉体だけでなく、心理や社会性も改善しようとする医学の一分野です,心療内科は心身症やストレスからくる身体症状を扱います,,,,,,,,,
2496,261,psychotherapy,精神療法,psycho_psykhe(心),psykhe(精神),10,therapy(治療),11,,0,,0,心理士は心理療法を行う人のことです,日本の精神療法は欧米よりも遅れており、薬物療法が主流となっています,その理由は、日本の医療制度は対話などの目に見えない技術に高い報酬を設定しないからです,,,,,,,,,
2497,261,,,psycho_psykhe(心),,0,,0,,0,,0,,,,,,,,,,,,
2498,262,expurgate,削除する,pur(純粋),ex(外),5,purgare(追い出す),13,,0,,0, removeです,,,,,,,,,,,
2499,262,pour,液体を注ぐ,pur(純粋),purare(浄化する),12,,0,,0,,0,,,,,,,,,,,,
2500,262,pure,純粋な,pur(純粋),purus(きれいな),11,,0,,0,,0,,,,,,,,,,,,
2501,262,purifier,浄化器,pur(純粋),purify(浄化する),12,,0,,0,,0,,,,,,,,,,,,
2502,262,purify,浄化する,pur(純粋),purus(純粋),9,facere(する),10,,0,,0,,,,,,,,,,,,
2503,262,purge,追放する,pur(純粋),purus(純粋),9,agere(行う),9,,0,,0,,,,,,,,,,,,
2504,262,purgative,下剤,pur(純粋),purgare(きれいにする),15,,0,,0,古い表現なので、今では下剤・便秘薬というとlaxativeの方が使われます。,38,,,,,,,,,,,,
2505,262,purgatory,煉獄,pur(純粋),purgare(きれいにする),15,,0,,0,,0,,,,,,,,,,,,
2506,262,,,pur(純粋),,0,,0,,0,,0,,,,,,,,,,,,
2507,263,compute,計算する,pute(考える),com(一緒),7,putare(数える),11,,0,原義はcomputare(数える)です。,20, figure outです,例文を見てみましょう,節約家は毎月の出費をきちんと計算します,海外旅行に行くなら、旅行の費用を事前に計算しましょう,WindowsのExcelやMacのNumbersは人間の代わりに複雑な数字の計算をしてくれます,個人事業主は経費の計算がうまくできないと、余分に税金を支払うことになります,税務職員は確定申告していない人に対し、税金を多めに計算します,利子の計算ができないと、リボ払いで多くの利子を支払うことになります,,,,
2508,263,computer,コンピューター,pute(考える),compute(計算する),13,,0,,0,,0,,,,,,,,,,,,
2509,263,deputy,代理人,pute(考える),de(離れる),7,putate(考える),11,,0,原義はラテン語のdeputare(割り当てる)です。,26, agent, representativeです,部長が不在の時は、部長代理が代理を務めます,副社長は社長の代理で会議に出席します,副首相は首相の代わりに業務を行います,,,,,,,
2510,263,dispute,論争,pute(考える),dis(離れて),8,putate(考える),11,,0,,0, disagreement, controversyです,例文を見てみましょう,資産家の親は遺書をきちんと作っておかないと、親族間で相続争いが発生します,労働条件が劣悪だと、労働者と事業主の間で労使紛争が生じます,領土紛争は非常に解決の難しい問題です,家庭内のもめごとは子供に大きなストレスをもたらします,中国とインドの間で国境紛争が発生したことがあります,訴訟とは、裁判所が司法権により紛争を解決するための手続きのことです,,,
2511,263,putative,推測上の,pute(考える),putate(考える),11,,0,,0,,0,,,,,,,,,,,,
2512,263,reputation,評判,pute(考える),re(何度も),7,putate(考える),11,,0,,0,例文を見てみましょう,その不良少年は暴力を振るうことで知られているため、他の生徒は近寄りません,その先生は厳しいけれど、教えるのが上手いことで有名です,親は自分の子供を評判の良い学校に入学させたいと思っています,起業家は多くの人の役に立つビジネスを提供することで、名声を確立します,不倫やスキャンダルはその人の評判を傷つけます,良い行いをすることで名声を高めることができます,,,,,
2513,263,,,pute(考える),,0,,0,,0,,0,,,,,,,,,,,,
2514,264,quadrangle,四角形,quadr(四),quattuor(４),11,angulus(角度),11,,0,,0,triangle(三角形)も、quadrangleと同じ語源を持ちます,同義語はsquare, quadrilateral, tetragonです,例文を見てみましょう,四角形は４つの頂点と４本の辺を持ちます,四角形の内角の和は360度です,長方形は４つの内角がすべて等しい四角形で、正方形は４つの内角と辺の長さがすべて等しい四角形です,,,,
2515,264,quadrant,象限,quadr(四),quattuor(４),11,,0,,0,,0,,,,,,,,,,,,
2516,264,quadratic,二次の,quadr(四),quattuor(４),11,,0,,0,,0,二次関数のグラフは放物線を描きます,中学生の多くは二次方程式の解の公式を覚えるのに苦労します,,,,,,,,,,
2517,264,quadrilateral,四角形,quadr(四),quadri(４),9,latus(側面),9,,0,,0,台形は少なくとも１組の対辺が平行である四角形のことです,平行四辺形は２組の対辺がそれぞれ平行である四角形のことです,ひし形は4本の辺の長さがすべて等しい四角形です,,,,,,,,,
2518,264,quadruped,四足動物,quadr(四),quadri(４),9,pes(足),6,,0,,0,,,,,,,,,,,,
2519,264,quadruple,四倍にする,quadr(四),quadri(４),9,plus(畳む),8,,0,,0,例文を見てみましょう,毎日外食ばかり食べていると、食費が４倍に増えてしまいます,ブラック企業に勤めていた優秀なプログラマーは、外資系企業に転職して給料を４倍にしました,そのベンチャー企業は利益を４倍に増やしました,,,,,,,,
2520,264,quadruplets,四つ子,quadr(四),quadr(四),8,,0,,0,,0,四つ子の多胎妊娠は母親に大きな負担がかかります,,,,,,,,,,,
2521,264,quart,クォート(液体の単位),quadr(四),quattuor(４),11,,0,,0,,0,例文を見てみましょう,クォートはヤード・ポンド法で使われる体積の単位です,クォートはガロンの４分の１です,１クォートはおよそ１リットルに相当します,クォートとガロンはアメリカでよく使われる単位です,,,,,,,
2522,264,quarter,４分の１,quadr(四),quattuor(４),11,,0,,0,,0,この四半世紀でインターネット技術は大いに進歩しました,４分の１マイルは400メートルに相当します,学術書は４分の１ページ読むだけでも苦労します,アメリカでは25セント硬貨をquarterと呼びます,,,,,,,,
2523,264,,,quadr(四),,0,,0,,0,,0,,,,,,,,,,,,
2524,265,quintessence,真髄,quint(五),quintus(５番目),12,essence(本質),11,,0,,0,例文を見てみましょう,,,,,,,,,,,
2525,265,quintet,五重奏,quint(五),quinque(５),10,,0,,0,,0,重奏の種類は他にも、二重奏、三重奏、四重奏などがあります,,,,,,,,,,,
2526,265,quintuple,五倍,quint(五),quinque(５),10,plus(畳む),8,,0,,0, triple, quadrupleと同じです,例文を見てみましょう,,,,,,,,,
2527,265,quintuplet,五つ子,quint(五),quintuple(五倍),13,,0,,0,,0,,,,,,,,,,,,
2528,265,,,quint(五),,0,,0,,0,,0,,,,,,,,,,,,
2529,266,acquire,手に入れる,quir(求める),ad(方向),6,quaerere(求める),13,,0,,0, obtain, secure, gainです,acquireは高価なものや入手困難なものに使われます,例文を見てみましょう,,,,,,,
2530,266,conquer,征服する,quir(求める),con(強調),7,quaerere(求める),13,,0,原義はラテン語のconquaerere(努力して手に入れる)です。,33, subdue, subjugateです,例文を見てみましょう,,,,,,,,,
2531,266,exquisite,精巧な,quir(求める),ex(外),5,quaerere(求める),13,,0,原義はexquirere(徹底的に選び抜く)です。,25, sophisticatedです,例文を見てみましょう,,,,,,,,,,
2532,266,inquire,尋ねる,quir(求める),in(中),5,quaerere(求める),13,,0,原義はラテン語のinquirere(探す)です。,24, questionです,inquireはフォーマルな単語で、日常会話ではaskの方が使われます,inquireの例文を見てみましょう,,,,,,,,,
2533,266,inquiry,質問,quir(求める),inquire(尋ねる),12,,0,,0,,0,,,,,,,,,,,,
2534,266,request,依頼,quir(求める),re(何度も),7,quaerere(求める),13,,0,,0,,,,,,,,,,,,
2535,266,require,必要とする,quir(求める),re(何度も),7,quaerere(求める),13,,0,原義はラテン語のrequirere(尋ねる)です。,25,またrequireは進行形になりません,例文を見てみましょう,,,,,,,,,,
2536,266,query,質問,quir(求める),quaerere(求める),13,,0,,0,,0,例文を見てみましょう,,,,,,,,,,,
2537,266,quest,探求,quir(求める),quaerere(求める),13,,0,,0,,0,,,,,,,,,,,,
2538,266,question,質問,quir(求める),quaerere(求める),13,,0,,0,,0,,,,,,,,,,,,
2539,266,questionnaire,アンケート,quir(求める),quaerere(求める),13,,0,,0,,0,,,,,,,,,,,,
2540,266,,,quir(求める),,0,,0,,0,,0,,,,,,,,,,,,
2541,267,abrasive,研磨材,raze_rase(こする),ab(分離),6,radere(削る),10,,0,原義はラテン語のabradere(削り取る)です。,25,,,,,,,,,,,,
2542,267,erase,消す,raze_rase(こする),ex(外),5,radere(こする),11,,0,原義はラテン語のeradere(削り出す)です。,24, rub off, wipe off, cross offです,例文を見てみましょう,,,,,,,,
2543,267,eraser,消しゴム、黒板消し,raze_rase(こする),ex(外),5,radere(こする),11,,0,原義はラテン語のeradere(削り出す)です。,24,例文を見てみましょう,,,,,,,,,,,
2544,267,razor,カミソリ,raze_rase(こする),radere(削る),10,,0,,0,,0,,,,,,,,,,,,
2545,267,,,raze_rase(こする),,0,,0,,0,,0,,,,,,,,,,,,
2546,268,rebound,跳ね返る,re(後ろ),re(後ろ),6,bondir(跳ねる),11,,0,原義は古フランス語のrebondir(押し戻す)です。,27,例文を見てみましょう,,,,,,,,,,,
2547,268,rebut,反論する,re(後ろ),re(後ろ),6,boter(押し付ける),12,,0,,0, refute, object, contradictです,例文を見てみましょう,,,,,,,,
2548,268,recall,思い出す,re(後ろ),re(後ろ),6,call(呼ぶ),8,,0,,0, be reminded, recollectです,例文を見てみましょう,,,,,,,,,
2549,268,reciprocal,相互の,re(後ろ),re(後ろ),6,pro(前),6,,0,原義はラテン語のreciprocus(交互の)です。,26,例文を見てみましょう,,,,,,,,,,,
2550,268,regress,退化する,re(後ろ),re(後ろ),6,gradi(歩幅),9,,0,原義はラテン語のregressus(後退)です。,24, degenerate、対義語はprogressです,例文を見てみましょう,,,,,,,,,,
2551,268,revoke,取り消す,re(後ろ),re(後ろ),6,vocare(呼ぶ),10,,0,,0,,,,,,,,,,,,
2552,268,,,re(後ろ),,0,,0,,0,,0,,,,,,,,,,,,
2553,269,correct,正しい,rect(まっすぐ),com(強調),7,regere(まっすぐにする),15,,0,,0,,,,,,,,,,,,
2554,269,direct,直接の,rect(まっすぐ),dis(分離),7,regere(導く),10,,0,,0,,,,,,,,,,,,
2555,269,direction,方向,rect(まっすぐ),dirigere(正す),12,,0,,0,,0,,,,,,,,,,,,
2556,269,director,指導者,rect(まっすぐ),direct(指示する),12,,0,,0,,0,,,,,,,,,,,,
2557,269,directory,名簿,rect(まっすぐ),direct(指示する),12,,0,,0,,0,,,,,,,,,,,,
2558,269,directive,指令,rect(まっすぐ),direct(指示する),12,,0,,0,,0,,,,,,,,,,,,
2559,269,erect,建てる,rect(まっすぐ),e(上),4,regere(導く),10,,0,,0,,,,,,,,,,,,
2560,269,rectangle,長方形,rect(まっすぐ),rectus(正しい),11,angle(角度),9,,0,,0,,,,,,,,,,,,
2561,269,rectify,直す,rect(まっすぐ),rectus(正しい),11,facere(する),10,,0,,0,,,,,,,,,,,,
2562,269,rectilinear,直線の,rect(まっすぐ),rectus(まっすぐ),12,linea(線),8,,0,,0,,,,,,,,,,,,
2563,269,,,rect(まっすぐ),,0,,0,,0,,0,,,,,,,,,,,,
2564,270,deregulation,規制緩和,reg(王者),de(否定),6,regulation(規制),14,,0,,0,,,,,,,,,,,,
2565,270,regal,王者の,reg(王者),rex(王),6,,0,,0,,0,,,,,,,,,,,,
2566,270,regalia,神器,reg(王者),rex(王),6,,0,,0,,0,,,,,,,,,,,,
2567,270,regency,摂政政治,reg(王者),rex(王),6,,0,,0,,0,,,,,,,,,,,,
2568,270,regime,政治体制,reg(王者),regere(支配する),12,,0,,0,,0,,,,,,,,,,,,
2569,270,regimen,養成法,reg(王者),regere(支配する),12,,0,,0,,0,,,,,,,,,,,,
2570,270,regular,規則的な,reg(王者),regula(規則),10,,0,,0,,0,,,,,,,,,,,,
2571,270,regulate,取り締まる,reg(王者),regula(規則),10,,0,,0,,0,,,,,,,,,,,,
2572,270,regulation,規制,reg(王者),regulate(取り締まる),15,,0,,0,,0,,,,,,,,,,,,
2573,270,,,reg(王者),,0,,0,,0,,0,,,,,,,,,,,,
2574,271,retro,レトロな,retro(古い),retro(古い),9,,0,,0,ラテン語のretro(後ろへ)に由来します。,22,,,,,,,,,,,,
2575,271,retroactive,遡及する,retro(古い),retro(後ろ),9,agere(追いやる),11,,0,,0,,,,,,,,,,,,
2576,271,retrofit,改造する,retro(古い),retro(後ろ),9,fit(合わせる),9,,0,,0,,,,,,,,,,,,
2577,271,retrospective,回顧する,retro(古い),retro(後ろ),9,specere(見る),11,,0,,0,,,,,,,,,,,,
2578,271,,,retro(古い),,0,,0,,0,,0,,,,,,,,,,,,
2579,272,arrive,到着する,riv_ripa_rivus(川、岸),ad(方向),6,ripa(岸),7,,0,原義はラテン語のarripare(岸に触れる)です。,26, reach、対義語はleave, start, departです,arriveは自動詞なので、目的語の前には前置詞がつきます,例文を見てみましょう,,,,,,,
2580,272,derive,良いものを得る、派生する,riv_ripa_rivus(川、岸),de(起点),6,rivus(流れ),9,,0,原義はラテン語のderivare(源流から引き出す)です。,29, obtain, gainです,例文を見てみましょう,,,,,,,,,
2581,272,derivative,金融派生商品,riv_ripa_rivus(川、岸),de(起点),6,rivus(流れ),9,,0,原義はラテン語のderivare(源流から引き出す)です。,29,,,,,,,,,,,,
2582,272,rival,競争相手,riv_ripa_rivus(川、岸),rivus(小川),9,,0,,0,,0,競争相手」という意味になりました,例文を見てみましょう,,,,,,,,,,
2583,272,rivalry,競争,riv_ripa_rivus(川、岸),rival(競争相手),11,,0,,0,,0,,,,,,,,,,,,
2584,272,river,川,riv_ripa_rivus(川、岸),riparius(川岸の),13,,0,,0,,0,,,,,,,,,,,,
2585,272,riverside,川岸・河畔,riv_ripa_rivus(川、岸),river(川),8,side(側面),8,,0,,0,,,,,,,,,,,,
2586,272,,,riv_ripa_rivus(川、岸),,0,,0,,0,,0,,,,,,,,,,,,
2587,273,corrode,腐食する,rode(かじる),com(強調),7,rodere(噛む),10,,0,原義はラテン語のcorrodere(すり減る)です。,26, rust awayです,例文を見てみましょう,,,,,,,,,,
2588,273,corrosive,腐食性の,rode(かじる),corrode(腐食する),13,,0,,0,,0,,,,,,,,,,,,
2589,273,erode,侵食する,rode(かじる),ex(外),5,rodere(噛む),10,,0,原義はラテン語のerodere(消費する)です。,24,例文を見てみましょう,,,,,,,,,,,
2590,273,erosion,侵食,rode(かじる),ex(離れて),7,rodere(噛む),10,,0,原義はラテン語のerodere(消費する)です。,24,,,,,,,,,,,,
2591,273,,,rode(かじる),,0,,0,,0,,0,,,,,,,,,,,,
2592,274,abrogate,廃止する,rogate_rogant(求める),ab(離れる),7,rogare(求める),11,,0,,0,,,,,,,,,,,,
2593,274,arrogant,傲慢な,rogate_rogant(求める),ad(方向),6,rogare(求める),11,,0,,0,,,,,,,,,,,,
2594,274,interrogate,尋問する,rogate_rogant(求める),inter(間),8,rogare(尋ねる),11,,0,,0,,,,,,,,,,,,
2595,274,surrogate,代理人,rogate_rogant(求める),sub(代わり),8,rogare(求める),11,,0,,0,,,,,,,,,,,,
2596,274,,,rogate_rogant(求める),,0,,0,,0,,0,,,,,,,,,,,,
2597,275,eradicate,完全に消す,root_radi(根、光),ex(外),5,radix(根),8,,0,原義はラテン語のeradicare(根を引き抜く)です。,28, get rid of, eliminate, wipe outです,,,,,,,,,
2598,275,radar,レーダー,root_radi(根、光),radius(光線),10,,0,,0,Radio Detecting and Rangingの頭字語,31,,,,,,,,,,,,
2599,275,radial,放射状の,root_radi(根、光),radius(車輪のスポーク),15,,0,,0,,0,,,,,,,,,,,,
2600,275,radiant,幸せに満ちた,root_radi(根、光),radiare(輝く),11,,0,,0,,0,,,,,,,,,,,,
2601,275,radiate,放射する,root_radi(根、光),radiare(光を放つ),13,,0,,0,,0, releaseです,例文を見てみましょう,,,,,,,,,,
2602,275,radiation,放射線、放射能,root_radi(根、光),radius(光線),10,,0,,0,,0,,,,,,,,,,,,
2603,275,radical,根本的な、過激な,root_radi(根、光),radicalis(根を持つ),15,,0,,0,,0,例文を見てみましょう,,,,,,,,,,,
2604,275,radio,ラジオ,root_radi(根、光),radius(光の筋),11,,0,,0,,0,,,,,,,,,,,,
2605,275,radioactive,放射能の,root_radi(根、光),radius(光線),10,actif(活発な),10,,0,,0,,,,,,,,,,,,
2606,275,radish,二十日大根,root_radi(根、光),radicem(根),10,,0,,0,,0,,,,,,,,,,,,
2607,275,radius,半径,root_radi(根、光),radi(根、光),9,,0,,0,ラテン語のradius(車輪のスポーク)に由来します。,27,,,,,,,,,,,,
2608,275,root,根,root_radi(根、光),root(根、光),9,,0,,0,古英語のrot(根)に由来します。,17,,,,,,,,,,,,
2609,275,,,root_radi(根、光),,0,,0,,0,,0,,,,,,,,,,,,
2610,276,abrupt,急な,rupt_rumpere(壊す),ab(離れる),7,rumpere(壊す),11,,0,原義はラテン語のabrumpere(断ち切る)です。,26, unexpectedです,例文を見てみましょう,,,,,,,,,,
2611,276,bankruptcy,破産,rupt_rumpere(壊す),bank(銀行),8,rotta(壊れた),10,,0,,0,例文を見てみましょう,,,,,,,,,,,
2612,276,corruption,汚職,rupt_rumpere(壊す),com(強調),7,rumpere(壊す),11,,0,原義はラテン語のcorrumpere(損なう)です。,26,例文を見てみましょう,,,,,,,,,,,
2613,276,disrupt,秩序を乱す,rupt_rumpere(壊す),dis(分離),7,rumpere(壊す),11,,0,原義はラテン語のdisrumpere(バラバラにする)です。,30, interruptです,例文を見てみましょう,,,,,,,,,,
2614,276,eruption,噴火,rupt_rumpere(壊す),ex(外),5,rumpere(壊す),11,,0,原義はラテン語のerumpere(破裂)です。,23,例文を見てみましょう,,,,,,,,,,,
2615,276,interrupt,邪魔をする,rupt_rumpere(壊す),inter(間),8,rumpere(壊す),11,,0,原義はラテン語のinterrumpere(分離させる)です。,30, preventです,例文を見てみましょう,,,,,,,,,,
2616,276,rupture,破裂,rupt_rumpere(壊す),rumpere(壊す),11,,0,,0,,0,例文を見てみましょう,,,,,,,,,,,
2617,276,,,rupt_rumpere(壊す),,0,,0,,0,,0,,,,,,,,,,,,
2618,277,assault,暴行,sal_sault(跳ねる),ad(方向),6,saltus(跳ねる),11,,0,原義はラテン語のadsaltus(攻撃)です。,23,,,,,,,,,,,,
2619,277,insult,侮辱,sal_sault(跳ねる),in(中),5,salire(跳ねる),11,,0,原義はラテン語のinsultare(攻撃する)です。,26,,,,,,,,,,,,
2620,277,result,結果,sal_sault(跳ねる),re(後ろ),6,salire(跳ねる),11,,0,原義はラテン語のresilire(跳ね返る)です。,25,,,,,,,,,,,,
2621,277,salient,目立った,sal_sault(跳ねる),salire(跳ねる),11,,0,,0,,0,,,,,,,,,,,,
2622,277,sally,出撃,sal_sault(跳ねる),salire(跳ねる),11,,0,,0,,0,,,,,,,,,,,,
2623,277,salmon,鮭,sal_sault(跳ねる),salire(跳ねる),11,,0,,0,,0,,,,,,,,,,,,
2624,277,saltation,跳躍,sal_sault(跳ねる),salire(跳ねる),11,,0,,0,,0,,,,,,,,,,,,
2625,277,saute,ソテー,sal_sault(跳ねる),salire(跳ねる),11,,0,,0,,0,,,,,,,,,,,,
2626,277,somersault,宙返り,sal_sault(跳ねる),sobre(超える),10,saut(ジャンプ),10,,0,,0,,,,,,,,,,,,
2627,277,,,sal_sault(跳ねる),,0,,0,,0,,0,,,,,,,,,,,,
2628,278,sacred,神聖な,sanct(聖なる),sacri(聖なる),10,,0,,0,,0,,,,,,,,,,,,
2629,278,sacrifice,生贄,sanct(聖なる),sacer(聖なる),10,facere(する),10,,0,,0,,,,,,,,,,,,
2630,278,sacrament,サクラメント,sanct(聖なる),sacrare(清める),12,,0,,0,,0,,,,,,,,,,,,
2631,278,sacrosanct,極めて神聖な,sanct(聖なる),sacrum(制裁),10,sancire(清める),12,,0,,0,,,,,,,,,,,,
2632,278,saint,聖人名,sanct(聖なる),sancire(清める),12,,0,,0,,0,,,,,,,,,,,,
2633,278,sanction,制裁措置,sanct(聖なる),sancire(清める),12,,0,,0,,0,,,,,,,,,,,,
2634,278,sanctity,神聖,sanct(聖なる),sanctus(聖なる),12,,0,,0,,0,,,,,,,,,,,,
2635,278,sanctuary,聖域,sanct(聖なる),sanctus(聖なる),12,,0,,0,,0,,,,,,,,,,,,
2636,278,,,sanct(聖なる),,0,,0,,0,,0,,,,,,,,,,,,
2637,279,insane,正気でない,sane(健康),in(否定),6,sanus(健康な),10,,0,,0,,,,,,,,,,,,
2638,279,sane,正気な,sane(健康),sane(健康),8,,0,,0,ラテン語のsanus(健康な)に由来します。,22,,,,,,,,,,,,
2639,279,sanitary,清潔な,sane(健康),sane(健康),8,,0,,0,ラテン語のsanitus(健康)に由来します。,23,,,,,,,,,,,,
2640,279,sanitarium,保養所,sane(健康),sanitus(健康),11,,0,,0,,0,,,,,,,,,,,,
2641,279,sanitize,清潔にする,sane(健康),sanitus(健康),11,,0,,0,,0,,,,,,,,,,,,
2642,279,,,sane(健康),,0,,0,,0,,0,,,,,,,,,,,,
2643,280,satisfaction,満足,satis(満たす),satisfy(満足させる),14,,0,,0,,0,,,,,,,,,,,,
2644,280,satisfactory,満足な,satis(満たす),satisfy(満足させる),14,,0,,0,,0,,,,,,,,,,,,
2645,280,satisfy,満足させる,satis(満たす),satis(十分),9,facere(する),10,,0,,0,,,,,,,,,,,,
2646,280,,,satis(満たす),,0,,0,,0,,0,,,,,,,,,,,,
2647,281,ascend,登る,scend(登る),ad(方向),6,scandere(登る),12,,0,,0,,,,,,,,,,,,
2648,281,ascendant,優位,scend(登る),scend(登る),9,,0,,0,ラテン語のascendere(登る)に由来します。,25,,,,,,,,,,,,
2649,281,condescend,見下す,scend(登る),com(一緒),7,descendere(降りる),15,,0,,0,,,,,,,,,,,,
2650,281,descend,降りる,scend(登る),de(下),5,scandere(登る),12,,0,,0,,,,,,,,,,,,
2651,281,descendant,子孫,scend(登る),discendere(降りる),15,,0,,0,,0,,,,,,,,,,,,
2652,281,transcend,超える,scend(登る),trans(超える),10,scandere(登る),12,,0,,0,,,,,,,,,,,,
2653,281,,,scend(登る),,0,,0,,0,,0,,,,,,,,,,,,
2654,282,conscience,良心,sci(知る),com(一緒),7,scire(知る),9,,0,原義はラテン語のconscientia(自分の中の知識)です。,31,,,,,,,,,,,,
2655,282,conscientious,慎重な,sci(知る),conscience(良心),14,,0,,0,,0,,,,,,,,,,,,
2656,282,conscious,気づいている、意識がある,sci(知る),sci(知る),7,,0,,0,ラテン語のconscire(知る)に由来します。,24,,,,,,,,,,,,
2657,282,prescient,先見の明がある,sci(知る),prae(前),7,scire(知る),9,,0,,0,,,,,,,,,,,,
2658,282,science,科学,sci(知る),scire(知る),9,,0,,0,,0,,,,,,,,,,,,
2659,282,,,sci(知る),,0,,0,,0,,0,,,,,,,,,,,,
2660,283,endoscope,内視鏡,scop(見る),in(内部),6,scope(見る),9,,0,,0,,,,,,,,,,,,
2661,283,fiberscope,ファイバースコープ,scop(見る),fiber(ファイバー),12,scope(見る),9,,0,,0,,,,,,,,,,,,
2662,283,gastroscope,胃カメラ,scop(見る),gastro(お腹),10,scope(見る),9,,0,,0,,,,,,,,,,,,
2663,283,gyroscope,ジャイロスコープ,scop(見る),gyro(円),7,skopos(見る),10,,0,,0,,,,,,,,,,,,
2664,283,horoscope,星占い,scop(見る),hora(時間),8,skopos(見る),10,,0,,0,,,,,,,,,,,,
2665,283,kaleidoscope,万華鏡,scop(見る),kalos(美しい),10,eidos(形),8,scope(見る),9,,0,,,,,,,,,,,,
2666,283,microscope,顕微鏡,scop(見る),micro(小さい),10,scope(見る),9,,0,,0,,,,,,,,,,,,
2667,283,oscilloscope,オシロスコープ,scop(見る),oscillare(揺れる),14,scope(見る),9,,0,,0,,,,,,,,,,,,
2668,283,periscope,潜望鏡,scop(見る),peri(周囲),8,scope(見る),9,,0,,0,,,,,,,,,,,,
2669,283,spectroscope,分光器,scop(見る),spectro(スペクトル),14,scope(見る),9,,0,,0,,,,,,,,,,,,
2670,283,stethoscope,聴診器,scop(見る),stethos(胸),10,scope(見る),9,,0,,0,,,,,,,,,,,,
2671,283,stereoscope,立体鏡,scop(見る),stereos(立体),11,scope(見る),9,,0,,0,,,,,,,,,,,,
2672,283,stroboscope,ストロボスコープ,scop(見る),strobos(捻じ曲げること),16,scope(見る),9,,0,,0,,,,,,,,,,,,
2673,283,telescope,望遠鏡,scop(見る),tele(遠い),8,scope(見る),9,,0,,0,,,,,,,,,,,,
2674,283,,,scop(見る),,0,,0,,0,,0,,,,,,,,,,,,
2675,284,ascribe,何かのせいにする,scribe_script(書く),ad(方向),6,scribere(書く),12,,0,原義はラテン語のascribere(書き込む)です。,26,,,,,,,,,,,,
2676,284,describe,説明する,scribe_script(書く),de(下),5,scribere(書く),12,,0,原義はラテン語のdescribere(書き留める)です。,28,,,,,,,,,,,,
2677,284,inscribe,文字を彫る,scribe_script(書く),in(中),5,scribere(書く),12,,0,原義はラテン語のinscribere(表面に書く)です。,28,,,,,,,,,,,,
2678,284,manuscript,原稿,scribe_script(書く),manus(手),8,scribere(書く),12,,0,原義はラテン語のmanuscriptum(手で書かれたもの)です。,33,,,,,,,,,,,,
2679,284,postscript,追伸,scribe_script(書く),post(後),7,scribere(書く),12,,0,原義はラテン語のpostscribere(あとで書く)です。,30,,,,,,,,,,,,
2680,284,prescribe,処方する,scribe_script(書く),prae(前),7,scribere(書く),12,,0,原義はラテン語のpraescribere(前もって書いておく)です。,34,,,,,,,,,,,,
2681,284,scribble,落書きする,scribe_script(書く),scribere(書く),12,,0,,0,,0,,,,,,,,,,,,
